,AoA,CL,dudy min,converge
0,0.5,0.6778875375000001,65951.95828167339,True
1,0.8785156249999999,0.7529519143999999,62293.420454429666,True
2,1.5,0.8845942107999999,86948.05889688394,True
3,1.6355468749999997,0.9157072210999999,88126.66741206308,True
4,2.0140624999999996,1.0054653949999999,80840.55579157965,True
5,2.2033203125,1.05327408,77803.85823310337,True
6,2.392578125,1.1016826,75774.0944395984,True
7,2.75,1.1938911939999997,71710.73661866268,True
8,2.77109375,1.198667654,72787.85267081994,True
9,2.8341796875,1.209657308,74912.04440335222,True
10,2.90625,1.226250048,72918.18303074606,True
11,2.984375,1.248510909,70234.44665912662,True
12,3.0234375,1.2614799570000002,69420.77924884635,True
13,3.04296875,0.0,69454.67191317066,False
14,3.0625,0.0,68900.04734761245,False
15,3.375,0.0,65122.0263051904,False
16,4.0,0.0,76250.45748727824,False
